feature,importance
usage_proxy_game,0.39167475321654827
ts_pct,0.07877702777545595
pts_roll10_x,0.05740955699233139
pts_home_avg,0.04860437947036008
starter_flag,0.04217116586547981
pts_away_avg,0.033128415963133616
tov_roll10,0.025585806117699027
fta_roll20,0.02266733955306382
usg_pct,0.022322648920757776
opp_net_rating_roll20,0.021165832057722468
min_roll5,0.018732568767163043
pts_std20,0.017187433804438927
pts_std10,0.015022061535901052
pts_season_avg,0.011653547677694493
reb_away_avg,0.01165239503573907
is_home,0.011451238502764699
reb_season_avg,0.010121020565296268
ast_home_avg,0.009788871159813398
fta_roll5,0.009702229138304751
fg_pct_roll20,0.009521630803371362
ast_std5,0.008796281656018529
pie,0.008256943776292236
fg_pct_roll10,0.0081719397450679
ast_away_avg,0.007844814862460095
tov_roll5,0.007775325489292153
reb_home_avg,0.007647313151007108
plus_minus_roll20,0.006401437937365984
opp_fg_pct_allowed_to_position_roll10,0.006373651939770461
ast_season_avg,0.005854653337539135
opp_pts_allowed_roll20,0.00575325073471614
opp_pts_allowed_roll10,0.005185556951162582
ft_pct_roll20,0.005170066807311195
plus_minus_roll5,0.00510056477261395
ast_pct,0.005076928561339948
team_pace_roll10,0.004918580536170933
ast_trend_5,0.004526560426926028
opp_pts_allowed_roll5,0.004449607453120946
opp_net_rating_roll10,0.004398216711458453
min_season_avg,0.0037929175067955515
ast_std10,0.0037247381683089874
ast_roll5,0.0036218566544801672
net_rating,0.0030423191865965094
stl_roll10,0.0027305165416460055
stl_roll5,0.0015494784211540318
blk_roll20,0.0014965557483456943
