season,n_games,wins,losses,hit_rate,net_units,roi,avg_clv,avg_edge
200708,977,536,441,0.548618,46.2727,0.047362,0.0,-0.10817
200809,1053,560,493,0.531814,16.0909,0.015281,0.0,-0.105443
200910,1043,579,464,0.555129,62.3636,0.059793,0.0,-0.103659
201011,1047,527,520,0.503343,-40.9091,-0.039073,0.0,-0.104695
201112,852,474,378,0.556338,52.9091,0.0621,0.0,-0.106417
201213,1133,584,549,0.515446,-18.0909,-0.015967,0.0,-0.106324
201314,1208,643,565,0.532285,19.5455,0.01618,0.0,-0.094488
201415,1205,630,575,0.522822,-2.2727,-0.001886,0.0,-0.090864
201516,1212,643,569,0.530528,15.5455,0.012826,0.0,-0.087038
201617,1213,633,580,0.521847,-4.5455,-0.003747,0.0,-0.09654
201718,1197,636,561,0.531328,17.1818,0.014354,0.0,-0.08853
201819,1216,634,582,0.521382,-5.6364,-0.004635,0.0,-0.090673
202122,1205,632,573,0.524481,1.5455,0.001283,0.0,-0.082912
202223,1217,612,605,0.502876,-48.6364,-0.039964,0.0,-0.079031
202324,1230,639,591,0.519512,-10.0909,-0.008204,0.0,
202425,1225,623,602,0.508571,-35.6364,-0.029091,0.0,
