test_season,n_train,n_test,mae,rmse,baseline_mae,mae_vs_baseline
200102,92749,13199,2.574,3.4243,6.5485,3.9745
200203,105962,11250,2.537,3.3997,6.7438,4.2068
200304,117212,9348,2.5034,3.3576,6.3885,3.885
200405,126543,7785,2.4919,3.3612,6.6929,4.2011
200506,134345,5281,2.5258,3.4236,6.973,4.4472
200607,139626,4232,2.5276,3.4158,6.8796,4.352
200708,143858,3077,2.5901,3.4915,6.962,4.3719
200809,146935,2315,2.5148,3.347,6.7095,4.1947
200910,149250,1788,2.65,3.4827,6.2627,3.6127
201011,151038,1357,2.4404,3.2634,6.5986,4.1582
201112,152395,815,2.3768,3.2917,7.0702,4.6934
201213,153210,687,2.7183,3.6072,7.1824,4.4641
201314,153897,366,2.3518,3.0409,5.0962,2.7444
201415,154263,159,2.7096,3.6893,6.7232,4.0136
201516,154422,165,2.6367,3.5592,6.7684,4.1317
